meter,start_time,end_time,energy_consumption,mean_power,min_power,max_power,stddev_power,median_power
A,2019-01-02T07:48:36.000Z,2019-01-02T07:02:11.000Z,-9719424.0,1.323845834954154E7,6238800.0,2.62404E7,2886244.5707331053,1.4148E7
A,2019-01-03T08:45:30.000Z,2019-01-03T08:58:24.000Z,2645428.0,1.338751675465407E7,460800.0,2.60208E7,4576946.216514451,1.50336E7
B,2019-01-03T19:49:18.000Z,2019-01-03T19:45:25.000Z,-64801.0,1563068.1856071132,986400.0,9900000.0,1058337.6914668286,1015200.0
B,2019-01-04T07:59:43.000Z,2019-01-04T07:35:46.000Z,-6721018.0,1.4542797998331944E7,1278000.0,2.96496E7,4658527.532539753,1.68336E7
B,2019-01-05T11:34:56.000Z,2019-01-05T11:05:13.000Z,-609549.0,1165725.8127257572,997200.0,1.09512E7,698426.276416244,1029600.0
C,2019-01-04T03:37:00.000Z,2019-01-04T03:41:37.000Z,-519.0,-6376.771325368158,-7200.0,0.0,1952.8956908737432,-7200.0
