meter,start_time,end_time,energy_consumption,mean_power,min_power,max_power,stddev_power,median_power
A,2019-01-05T09:49:16.000Z,2019-01-05T09:31:01.000Z,-142839.0,1246078.1328146707,460800.0,9842400.0,2032391.5544507783,471600.0
B,2019-01-04T02:27:03.000Z,2019-01-04T02:10:08.000Z,-294246.0,1040496.0533629794,1011600.0,2088000.0,19492.65028302636,1044000.0
B,2019-01-05T15:59:32.000Z,2019-01-05T15:17:11.000Z,-1089578.0,1595361.1558766323,1008000.0,1.08324E7,919484.9805716401,1036800.0
C,2019-01-04T21:04:05.000Z,2019-01-04T21:52:04.000Z,-4651.0,-5788.215675375209,-14400.0,0.0,2101.4405443859405,-7200.0
