meter,start_time,end_time,energy_consumption,mean_power,min_power,max_power,stddev_power,median_power
B,2019-01-01T16:47:12.000Z,2019-01-01T16:14:04.000Z,-7021324.0,1.158082E7,1940400.0,1.69056E7,3203532.891201047,1.12896E7
B,2019-01-03T00:51:44.000Z,2019-01-03T00:55:19.000Z,62240.0,1036537.0,1011600.0,1051200.0,7232.382790094197,1036800.0
C,2019-01-03T03:35:58.000Z,2019-01-03T03:14:20.000Z,2073.0,-5575.548763545429,-7200.0,0.0,2437.291818688823,-7200.0
C,2019-01-03T10:34:42.000Z,2019-01-03T10:21:58.000Z,-2492752.0,1.1083866851903306E7,1328400.0,2.21292E7,3246868.5129348524,1.16568E7
C,2019-01-03T22:14:09.000Z,2019-01-03T22:02:40.000Z,-3936.0,20646.735204223394,-10800.0,9262800.0,363560.44443678303,-7200.0
