meter,start_time,end_time,energy_consumption,mean_power,min_power,max_power,stddev_power,median_power
A,2019-01-04T09:06:46.000Z,2019-01-04T09:07:41.000Z,187011.0,1.3774778327313142E7,6530400.0,2.49156E7,3026343.0840112506,1.44612E7
B,2019-01-05T23:19:28.000Z,2019-01-05T23:37:02.000Z,299627.0,1031639.5665462628,1000800.0,4194000.0,53818.85611389852,1029600.0
C,2019-01-01T00:50:33.000Z,2019-01-01T00:46:59.000Z,218.0,-4810.672595886604,-7200.0,0.0,2347.1849572051165,-3600.0
C,2019-01-05T11:20:41.000Z,2019-01-05T11:05:56.000Z,-25902.0,100567.93553764935,-7200.0,9784800.0,693400.1731924855,-3600.0
