meter,start_time,end_time,energy_consumption,mean_power,min_power,max_power,stddev_power,median_power
A,2019-01-03T07:41:29.000Z,2019-01-03T07:29:52.000Z,-2909270.0,1.2777425284801334E7,1321200.0,2.34504E7,3652915.7270306633,1.4526E7
B,2019-01-01T11:04:56.000Z,2019-01-01T11:25:11.000Z,4153675.0,1.2294278077243678E7,6606000.0,1.69092E7,2797073.905566648,1.29852E7
B,2019-01-03T15:10:27.000Z,2019-01-03T15:57:04.000Z,9868496.0,1.2424799333148098E7,4917600.0,2.77164E7,3430296.200221755,1.32552E7
C,2019-01-04T09:11:01.000Z,2019-01-04T09:01:30.000Z,-1821227.0,1.2007955543206446E7,3211200.0,2.3436E7,2981278.6037161634,1.28412E7
