meter,start_time,end_time,energy_consumption,mean_power,min_power,max_power,stddev_power,median_power
A,2019-01-01T15:00:01.000Z,2019-01-01T15:58:59.000Z,1.0392411E7,1.0574930442035029E7,5749200.0,1.9476E7,2217275.8254782925,1.06308E7
A,2019-01-02T09:14:18.000Z,2019-01-02T09:20:03.000Z,1315664.0,1.3681313364823563E7,7876800.0,2.20788E7,2330841.476031536,1.45188E7
A,2019-01-02T10:02:27.000Z,2019-01-02T10:06:35.000Z,817035.0,1.3903916397998888E7,8539200.0,2.9682E7,2815181.033693823,1.38024E7
B,2019-01-04T13:41:40.000Z,2019-01-04T13:28:12.000Z,-2719058.0,1.1859617338149486E7,3996000.0,2.6532E7,2796616.8298491626,1.2312E7
C,2019-01-04T12:29:36.000Z,2019-01-04T12:24:35.000Z,-769976.0,1.0518123701028064E7,2264400.0,2.29392E7,3036032.5178094367,1.14192E7
