meter,start_time,end_time,energy_consumption,mean_power,min_power,max_power,stddev_power,median_power
A,2019-01-02T08:31:50.000Z,2019-01-02T08:00:05.000Z,-6433127.0,1.3251058849680467E7,7009200.0,2.53476E7,3255389.1756655583,1.3986E7
A,2019-01-05T14:07:41.000Z,2019-01-05T14:02:10.000Z,-49960.0,551187.1075298694,457200.0,9820800.0,607217.8919141314,468000.0
B,2019-01-02T13:42:27.000Z,2019-01-02T13:17:14.000Z,-4687166.0,1.3514339966648137E7,4694400.0,2.86488E7,2905415.8943251423,1.43136E7
B,2019-01-05T17:06:52.000Z,2019-01-05T17:01:28.000Z,-93561.0,1110246.4017782717,997200.0,1.02204E7,528256.8981596741,1044000.0
C,2019-01-05T02:19:25.000Z,2019-01-05T02:11:52.000Z,861.0,-6566.824117810503,-10800.0,0.0,2526.1719991589625,-7200.0
