meter,start_time,end_time,energy_consumption,mean_power,min_power,max_power,stddev_power,median_power
A,2019-01-01T10:25:40.000Z,2019-01-01T10:48:00.000Z,4348389.0,1.2676262183939984E7,6908400.0,1.60956E7,2608572.1034057736,1.35828E7
A,2019-01-03T02:13:35.000Z,2019-01-03T02:05:24.000Z,-63686.0,903774.048346763,460800.0,1332000.0,415188.1889780188,1288800.0
B,2019-01-02T19:46:45.000Z,2019-01-02T19:11:51.000Z,-613538.0,1053980.772436788,1026000.0,2077200.0,18710.059698524543,1054800.0
C,2019-01-01T19:58:16.000Z,2019-01-01T19:52:42.000Z,512.0,-5694.163424124514,-7200.0,-3600.0,1776.0474582019326,-7200.0
