meter,start_time,end_time,energy_consumption,mean_power,min_power,max_power,stddev_power,median_power
B,2019-01-01T19:42:03.000Z,2019-01-01T19:59:39.000Z,310507.0,1054384.7693162868,1026000.0,2095200.0,18991.36222423773,1054800.0
B,2019-01-02T07:43:58.000Z,2019-01-02T07:13:31.000Z,-6522028.0,1.4799088858016115E7,7192800.0,2.71008E7,3125656.4152010526,1.54476E7
B,2019-01-03T17:30:26.000Z,2019-01-03T17:55:29.000Z,1854288.0,7610224.512534819,892800.0,1.95228E7,4716331.4096074905,9014400.0
C,2019-01-02T09:14:40.000Z,2019-01-02T09:45:22.000Z,6568103.0,1.2219452292303417E7,7149600.0,2.15676E7,2292512.146227353,1.3392E7
