meter,start_time,end_time,energy_consumption,mean_power,min_power,max_power,stddev_power,median_power
A,2019-01-01T23:52:34.000Z,2019-01-01T23:14:54.000Z,-490336.0,667904.5290358433,471600.0,2476800.0,583865.8996088125,478800.0
A,2019-01-03T17:29:45.000Z,2019-01-03T17:03:17.000Z,-4812350.0,7140875.766016713,471600.0,1.85364E7,4803371.501860419,8049600.0
B,2019-01-02T00:33:38.000Z,2019-01-02T00:18:46.000Z,-264729.0,1256043.9010836342,1040400.0,3103200.0,593215.9040914574,1062000.0
B,2019-01-03T02:07:43.000Z,2019-01-03T02:01:43.000Z,-103253.0,1034333.3148096694,1018800.0,1047600.0,5220.52635024763,1036800.0
C,2019-01-04T04:04:34.000Z,2019-01-04T04:53:46.000Z,-5709.0,-6636.530442035029,-14400.0,-3600.0,1918.1383421544706,-7200.0
C,2019-01-05T08:51:32.000Z,2019-01-05T08:56:53.000Z,927282.0,9009009.502639621,1422000.0,2.20212E7,3603303.893130099,9320400.0
