meter,start_time,end_time,energy_consumption,mean_power,min_power,max_power,stddev_power,median_power
A,2019-01-01T14:36:09.000Z,2019-01-01T14:54:12.000Z,3706570.0,1.1503553431508752E7,6566400.0,1.49868E7,2298365.59891829,1.26576E7
A,2019-01-04T12:38:39.000Z,2019-01-04T12:33:11.000Z,-944078.0,1.2241993553764936E7,4784400.0,2.37636E7,2864578.7578965076,1.27728E7
A,2019-01-04T13:34:19.000Z,2019-01-04T13:25:05.000Z,-1586624.0,1.1346248735759933E7,4863600.0,2.36232E7,2587962.16182378,1.1664E7
B,2019-01-03T10:17:31.000Z,2019-01-03T10:59:51.000Z,8467730.0,1.3451168435676577E7,1670400.0,2.55708E7,3938672.2363812444,1.43316E7
